Driverid (Truck Mileage),Rdate,Truckid (Truck Mileage),Gas,Miles,Mpg
A6,dec12,A6,2596,14293,5.505778120
A6,nov12,A6,2384,12593,5.282298658
A6,oct12,A6,2690,11899,4.423420074
A6,sep12,A6,1540,8693,5.644805195
A6,aug12,A6,3045,13617,4.471921182
A6,jul12,A6,2583,10513,4.070073558
A6,jun12,A6,2164,11623,5.371072089
A6,may12,A6,2274,13088,5.755496922
A6,apr12,A6,2373,11661,4.914032870
A6,mar12,A6,2232,11573,5.185035842
A6,feb12,A6,2292,10744,4.687609075
A6,jan12,A6,2849,13503,4.739557740
A6,dec11,A6,1828,9839,5.382385120
A6,nov11,A6,1996,9902,4.960921844
A6,oct11,A6,2893,13531,4.677151746
A6,sep11,A6,2322,13636,5.872523686
A6,aug11,A6,1923,9734,5.061882475
A6,jul11,A6,2767,11385,4.114564510
A6,jun11,A6,1915,13574,7.088250653
A6,may11,A6,1915,9115,4.759791123
A6,apr11,A6,1915,9261,4.836031332
A6,mar11,A6,1915,10725,5.600522193
A6,feb11,A6,1915,13198,6.891906005
A6,jan11,A6,1915,15596,8.144125326
A6,dec10,A6,1915,13735,7.172323760
A6,nov10,A6,1915,10332,5.395300261
A6,oct10,A6,1915,12365,6.456919060
A6,sep10,A6,1915,12739,6.652219321
A6,aug10,A6,1915,13941,7.279895561
A6,jul10,A6,1915,14539,7.592167102
A6,jun10,A6,1915,9379,4.897650131
A6,may10,A6,1915,8992,4.695561358
A6,apr10,A6,1915,12684,6.623498695
A6,mar10,A6,1915,10226,5.339947781
A6,feb10,A6,1915,13618,7.111227154
A6,jan10,A6,1915,12659,6.610443864
A6,dec09,A6,1915,14266,7.449608355
A6,nov09,A6,1915,14728,7.690861619
A6,oct09,A6,1915,10162,5.306527415
A6,sep09,A6,1915,11256,5.877806789
A6,aug09,A6,1915,11260,5.879895561
A6,jul09,A6,1915,12715,6.639686684
A6,jun09,A6,1915,9193,4.800522193
A6,may09,A6,1915,13367,6.980156658
A6,apr09,A6,1915,11053,5.771801567
A6,mar09,A6,1915,12388,6.468929504
A6,feb09,A6,1915,9924,5.182245431
A6,jan09,A6,1915,12680,6.621409922
A7,jun13,A7,2231,10938,4.902734200
A7,may13,A7,2142,12080,5.639589169
A7,apr13,A7,2346,13539,5.771099744
A7,mar13,A7,2413,13453,5.575217571
A7,feb13,A7,2444,12754,5.218494272
A7,jan13,A7,2083,11147,5.351416227
A7,dec12,A7,2442,11749,4.811220311
A7,nov12,A7,2728,15816,5.797653959
A7,oct12,A7,2369,13330,5.626846771
A7,sep12,A7,2134,10803,5.062324274
A7,aug12,A7,1863,9275,4.978529254
A7,jul12,A7,2307,11223,4.864759428
A7,jun12,A7,2367,13215,5.583016477
A7,may12,A7,1812,8849,4.883554084
A7,apr12,A7,2343,10577,4.514297909
A7,mar12,A7,2614,13126,5.021423106
A7,feb12,A7,2153,11993,5.570366930
A7,jan12,A7,2623,12873,4.907739230
A7,dec11,A7,2799,14063,5.024294391
A7,nov11,A7,1611,9100,5.648665425
A7,oct11,A7,2768,13889,5.017702312
A7,sep11,A7,2152,10944,5.085501859
A7,aug11,A7,2490,12789,5.136144578
A7,jul11,A7,3161,14445,4.569756406
A7,jun11,A7,2407,11350,4.715413378
A7,may11,A7,2407,14389,5.977980889
A7,apr11,A7,2407,14091,5.854175322
A7,mar11,A7,2407,12740,5.292895721
A7,feb11,A7,2407,9969,4.141670129
A7,jan11,A7,2407,10815,4.493144994
A7,dec10,A7,2407,11890,4.939759036
A7,nov10,A7,2407,14014,5.822185293
A7,oct10,A7,2407,12011,4.990029082
A7,sep10,A7,2407,10561,4.387619443
A7,aug10,A7,2407,10518,4.369754882
A7,jul10,A7,2407,10741,4.462401329
A7,jun10,A7,2407,10007,4.157457416
A7,may10,A7,2407,13537,5.624013295
A7,apr10,A7,2407,15374,6.387203988
A7,mar10,A7,2407,14594,6.063149148
A7,feb10,A7,2407,14774,6.137931034
A7,jan10,A7,2407,14656,6.088907354
A7,dec09,A7,2407,8060,3.348566681
A7,nov09,A7,2407,12866,5.345243041
A7,oct09,A7,2407,10530,4.374740341
A7,sep09,A7,2407,9826,4.082260075
A7,aug09,A7,2407,9790,4.067303698
A7,jul09,A7,2407,10223,4.247195679
A7,jun09,A7,2407,13132,5.455754051
A7,may09,A7,2407,14683,6.100124636
A7,apr09,A7,2407,12253,5.090569173
A7,mar09,A7,2407,12422,5.160781055
A7,feb09,A7,2407,9853,4.093477358
A7,jan09,A7,2407,12148,5.046946406
A8,jun13,A8,2280,11392,4.996491228
A8,may13,A8,1834,8922,4.864776445
A8,apr13,A8,2202,11422,5.187102634
A8,mar13,A8,2478,13142,5.303470541
A8,feb13,A8,2813,14133,5.024173480
A8,jan13,A8,1819,10184,5.598680594
A8,dec12,A8,1690,9660,5.715976331
A8,nov12,A8,2359,12201,5.172106825
A8,oct12,A8,2155,10650,4.941995360
A8,sep12,A8,2952,14691,4.976626016
A8,aug12,A8,2235,12366,5.532885906
A8,jul12,A8,2759,13869,5.026821312
A8,jun12,A8,2686,13025,4.849218168
A8,may12,A8,1967,10661,5.419928826
A8,apr12,A8,2125,9916,4.666352941
A8,mar12,A8,2768,13638,4.927023121
A8,feb12,A8,2402,13326,5.547876769
A8,jan12,A8,2129,11289,5.302489432
A8,dec11,A8,2859,13562,4.743616649
A8,nov11,A8,1992,11060,5.552208835
A8,oct11,A8,2446,11088,4.533115290
A8,sep11,A8,2699,13408,4.967765839
A8,aug11,A8,2308,10579,4.583622184
A8,jul11,A8,2239,12385,5.531487271
A8,jun11,A8,2501,11363,4.543382647
A8,may11,A8,2501,12901,5.158336665
A8,apr11,A8,2501,13806,5.520191923
A8,mar11,A8,2501,13871,5.546181527
A8,feb11,A8,2501,12250,4.898040784
A8,jan11,A8,2501,12457,4.980807677
A8,dec10,A8,2501,11351,4.538584566
A8,nov10,A8,2501,13023,5.207117153
A8,oct10,A8,2501,9836,3.932826869
A8,sep10,A8,2501,13387,5.352658936
A8,aug10,A8,2501,11932,4.770891643
A8,jul10,A8,2501,9773,3.907636945
A8,jun10,A8,2501,14765,5.903638545
A8,may10,A8,2501,12951,5.178328669
A8,apr10,A8,2501,13626,5.448220712
A8,mar10,A8,2501,13724,5.487405038
A8,feb10,A8,2501,12001,4.798480608
A8,jan10,A8,2501,10313,4.123550580
A8,dec09,A8,2501,10837,4.333066773
A8,nov09,A8,2501,12641,5.054378249
A8,oct09,A8,2501,10699,4.277888844
A8,sep09,A8,2501,10444,4.175929628
A8,aug09,A8,2501,12712,5.082766893
A8,jul09,A8,2501,11768,4.705317873
A8,jun09,A8,2501,12787,5.112754898
A8,may09,A8,2501,11397,4.556977209
A8,apr09,A8,2501,14780,5.909636146
A8,mar09,A8,2501,10938,4.373450620
A8,feb09,A8,2501,9773,3.907636945
A8,jan09,A8,2501,15316,6.123950420
A9,jun13,A9,2515,12601,5.010337972
A9,may13,A9,1869,9707,5.193686463
A9,apr13,A9,2479,11914,4.805970149
A9,mar13,A9,2207,11531,5.224739465
A9,feb13,A9,2342,12913,5.513663535
A9,jan13,A9,1663,9648,5.801563440
A9,dec12,A9,2497,12035,4.819783740
A9,nov12,A9,1746,8453,4.841351661
A9,oct12,A9,3082,13856,4.495781960
A9,sep12,A9,1843,9692,5.258817146
A9,aug12,A9,2720,13051,4.798161765
A9,jul12,A9,2788,14617,5.242826399
A9,jun12,A9,2755,14482,5.256624319
A9,may12,A9,2314,10494,4.535004322
A9,apr12,A9,2309,11086,4.801212646
A9,mar12,A9,2887,15225,5.273640457
A9,feb12,A9,2934,13531,4.611792774
A9,jan12,A9,2384,12320,5.167785235
A9,dec11,A9,2903,13974,4.813641061
A9,nov11,A9,2861,15563,5.439706396
A9,oct11,A9,2366,10620,4.488588335
A9,sep11,A9,2258,12734,5.639503986
A9,aug11,A9,3091,13800,4.464574571
A9,jul11,A9,3227,14059,4.356678029
A9,jun11,A9,2132,12302,5.770168856
A9,may11,A9,2132,12309,5.773452158
A9,apr11,A9,2132,13391,6.280956848
A9,mar11,A9,2132,12058,5.655722326
A9,feb11,A9,2132,14120,6.622889306
A9,jan11,A9,2132,9893,4.640243902
A9,dec10,A9,2132,14365,6.737804878
A9,nov10,A9,2132,13410,6.289868668
A9,oct10,A9,2132,10675,5.007035647
A9,sep10,A9,2132,10776,5.054409006
A9,aug10,A9,2132,10894,5.109756098
A9,jul10,A9,2132,10624,4.983114447
A9,jun10,A9,2132,10498,4.924015009
A9,may10,A9,2132,8565,4.017354597
A9,apr10,A9,2132,14132,6.628517824
A9,mar10,A9,2132,13023,6.108348968
A9,feb10,A9,2132,12539,5.881332083
A9,jan10,A9,2132,13137,6.161819887
A9,dec09,A9,2132,9953,4.668386492
A9,nov09,A9,2132,13285,6.231238274
A9,oct09,A9,2132,11823,5.545497186
A9,sep09,A9,2132,12052,5.652908068
A9,aug09,A9,2132,11633,5.456378987
A9,jul09,A9,2132,11316,5.307692308
A9,jun09,A9,2132,14756,6.921200750
A9,may09,A9,2132,11811,5.539868668
A9,apr09,A9,2132,14841,6.961069418
A9,mar09,A9,2132,12615,5.916979362
A9,feb09,A9,2132,13636,6.395872420
A9,jan09,A9,2132,13118,6.152908068
A10,jun13,A10,2583,13699,5.303523035
A10,may13,A10,2077,11583,5.576793452
A10,apr13,A10,2473,12833,5.189243833
A10,mar13,A10,2436,13168,5.405582923
A10,feb13,A10,2622,12751,4.863081617
A10,jan13,A10,2104,9391,4.463403042
A10,dec12,A10,2472,11971,4.842637540
A10,nov12,A10,2762,14276,5.168718320
A10,oct12,A10,2298,11132,4.844212359
A10,sep12,A10,2988,13841,4.632195448
A10,aug12,A10,3110,14740,4.739549839
A10,jul12,A10,3106,15351,4.942369607
A10,jun12,A10,2332,11393,4.885506003
A10,may12,A10,1887,10254,5.434022258
A10,apr12,A10,2881,13728,4.765012149
A10,mar12,A10,2056,9443,4.592898833
A10,feb12,A10,2156,11215,5.201762523
A10,jan12,A10,2763,14100,5.103148751
A10,dec11,A10,2758,11466,4.157360406
A10,nov11,A10,2911,12994,4.463758159
A10,oct11,A10,2480,10937,4.410080645
A10,sep11,A10,2288,11992,5.241258741
A10,aug11,A10,2438,11840,4.856439705
A10,jul11,A10,2041,10210,5.002449780
A10,jun11,A10,2195,13328,6.071981777
A10,may11,A10,2195,14832,6.757175399
A10,apr11,A10,2195,12827,5.843735763
A10,mar11,A10,2195,11954,5.446013667
A10,feb11,A10,2195,11950,5.444191344
A10,jan11,A10,2195,13292,6.055580866
A10,dec10,A10,2195,14176,6.458314351
A10,nov10,A10,2195,13526,6.162186788
A10,oct10,A10,2195,12092,5.508883827
A10,sep10,A10,2195,15044,6.853758542
A10,aug10,A10,2195,11687,5.324373576
A10,jul10,A10,2195,12447,5.670615034
A10,jun10,A10,2195,12002,5.467881549
A10,may10,A10,2195,15542,7.080637813
A10,apr10,A10,2195,13672,6.228701595
A10,mar10,A10,2195,13771,6.273804100
A10,feb10,A10,2195,13568,6.181321185
A10,jan10,A10,2195,10435,4.753986333
A10,dec09,A10,2195,10993,5.008200456
A10,nov09,A10,2195,11864,5.405011390
A10,oct09,A10,2195,9031,4.114350797
A10,sep09,A10,2195,11072,5.044191344
A10,aug09,A10,2195,14045,6.398633257
A10,jul09,A10,2195,14839,6.760364465
A10,jun09,A10,2195,12902,5.877904328
A10,may09,A10,2195,9940,4.528473804
A10,apr09,A10,2195,13086,5.961731207
A10,mar09,A10,2195,12030,5.480637813
A10,feb09,A10,2195,14468,6.591343964
A10,jan09,A10,2195,10654,4.853758542
A11,jun13,A11,2596,12447,4.794684129
A11,may13,A11,3145,15726,5.000317965
A11,apr13,A11,2512,11461,4.5625
A11,mar13,A11,3360,14566,4.335119048
A11,feb13,A11,2524,11557,4.578843106
A11,jan13,A11,3025,15319,5.064132231
A11,dec12,A11,2951,15166,5.139274822
A11,nov12,A11,2725,12052,4.422752294
A11,oct12,A11,1951,8542,4.378267555
A11,sep12,A11,2105,10500,4.988123515
A11,aug12,A11,1990,9041,4.543216080
A11,jul12,A11,1619,9225,5.697961705
A11,jun12,A11,2407,11125,4.621936020
A11,may12,A11,2713,11534,4.251382234
A11,apr12,A11,2203,9663,4.386291421
A11,mar12,A11,2889,14289,4.946002077
A11,feb12,A11,2267,11401,5.029113366
A11,jan12,A11,2132,11482,5.385553471
A11,dec11,A11,2740,12973,4.734671533
A11,nov11,A11,2848,13168,4.623595506
A11,oct11,A11,1807,9434,5.220807969
A11,sep11,A11,2588,13087,5.056800618
A11,aug11,A11,2572,11873,4.616251944
A11,jul11,A11,2693,12903,4.791310806
A11,jun11,A11,2000,13661,6.8305
A11,may11,A11,2000,11651,5.8255
A11,apr11,A11,2000,15536,7.768
A11,mar11,A11,2000,14425,7.2125
A11,feb11,A11,2000,11662,5.831
A11,jan11,A11,2000,12083,6.0415
A11,dec10,A11,2000,14091,7.0455
A11,nov10,A11,2000,10043,5.0215
A11,oct10,A11,2000,13763,6.8815
A11,sep10,A11,2000,9530,4.765
A11,aug10,A11,2000,13776,6.888
A11,jul10,A11,2000,11376,5.688
A11,jun10,A11,2000,13342,6.671
A11,may10,A11,2000,14164,7.082
A11,apr10,A11,2000,12957,6.4785
A11,mar10,A11,2000,12238,6.119
A11,feb10,A11,2000,11416,5.708
A11,jan10,A11,2000,9169,4.5845
A11,dec09,A11,2000,12965,6.4825
A11,nov09,A11,2000,12525,6.2625
A11,oct09,A11,2000,10043,5.0215
A11,sep09,A11,2000,10513,5.2565
A11,aug09,A11,2000,10926,5.463
A11,jul09,A11,2000,9131,4.5655
A11,jun09,A11,2000,15373,7.6865
A11,may09,A11,2000,13924,6.962
A11,apr09,A11,2000,12919,6.4595
A11,mar09,A11,2000,10660,5.33
A11,feb09,A11,2000,8571,4.2855
A11,jan09,A11,2000,11485,5.7425
A12,jun13,A12,2055,10006,4.869099757
A12,may13,A12,2187,10307,4.712848651
A12,apr13,A12,2473,13044,5.274565305
A12,mar13,A12,2716,12229,4.502577320
A12,feb13,A12,2539,14624,5.759747932
A12,jan13,A12,2580,12995,5.036821705
A12,dec12,A12,2376,11159,4.696548822
A12,nov12,A12,2677,13078,4.885319387
A12,oct12,A12,2535,11374,4.486785010
A12,sep12,A12,2015,10864,5.391563275
A12,aug12,A12,2031,11114,5.472181192
A12,jul12,A12,2492,13682,5.490369181
A12,jun12,A12,2047,10849,5.299951148
A12,may12,A12,2502,12369,4.943645084
A12,apr12,A12,2601,15159,5.828143022
A12,mar12,A12,2365,13100,5.539112051
A12,feb12,A12,3276,15431,4.710317460
A12,jan12,A12,2630,13329,5.068060837
A12,dec11,A12,1936,8790,4.540289256
A12,nov11,A12,2031,11510,5.667159035
A12,oct11,A12,2086,10583,5.073346117
A12,sep11,A12,1929,9779,5.069466045
A12,aug11,A12,2928,14668,5.009562842
A12,jul11,A12,2814,14539,5.166666667
A12,jun11,A12,2862,12682,4.431167016
A12,may11,A12,2862,10590,3.700209644
A12,apr11,A12,2862,12048,4.209643606
A12,mar11,A12,2862,13197,4.611111111
A12,feb11,A12,2862,13704,4.788259958
A12,jan11,A12,2862,13717,4.792802236
A12,dec10,A12,2862,14162,4.948287911
A12,nov10,A12,2862,12108,4.230607966
A12,oct10,A12,2862,9638,3.367575122
A12,sep10,A12,2862,11426,3.992313068
A12,aug10,A12,2862,11134,3.890286513
A12,jul10,A12,2862,14199,4.961215933
A12,jun10,A12,2862,14797,5.170160727
A12,may10,A12,2862,13394,4.679944095
A12,apr10,A12,2862,10034,3.505939902
A12,mar10,A12,2862,15540,5.429769392
A12,feb10,A12,2862,12650,4.419986024
A12,jan10,A12,2862,11166,3.901467505
A12,dec09,A12,2862,9116,3.185185185
