City,Driverid (Geolocation),Event,State,Truckid (Geolocation),Event Ind,Idling Ind,Latitude,Longitude,Velocity
Palo Cedro,A38,normal,California,A38,0,0,40.563763,-122.238892,61
Homeland,A68,normal,California,A68,0,0,33.743076,-117.109197,16
Santa Rosa,A36,normal,California,A36,0,0,38.440467,-122.714431,48
Kneeland,A60,normal,California,A60,0,0,40.761243,-123.994778,23
Palo Alto,A52,normal,California,A52,0,0,37.441883,-122.143019,71
Santa Rosa,A91,unsafe following distance,California,A91,1,0,38.440467,-122.714431,43
Santa Monica,A59,unsafe following distance,California,A59,1,0,34.019454,-118.491191,43
Stockton,A91,normal,California,A91,0,0,37.957702,-121.29078,61
Gilroy,A55,normal,California,A55,0,0,37.005782,-121.568275,67
San Francisco,A76,normal,California,A76,0,1,37.77493,-122.419416,0
Willits,A61,normal,California,A61,0,1,39.409608,-123.355566,0
San Francisco,A85,lane departure,California,A85,1,0,37.77493,-122.419416,55
Apple Valley,A83,normal,California,A83,0,0,34.500831,-117.185876,28
Willits,A92,normal,California,A92,0,0,39.409608,-123.355566,19
Willits,A40,normal,California,A40,0,0,39.409608,-123.355566,68
Bakersfield,A11,normal,California,A11,0,0,35.373292,-119.018712,25
Santa Rosa,A12,normal,California,A12,0,1,38.440467,-122.714431,0
Antelope,A90,normal,California,A90,0,1,38.716687,-121.364422,0
La Palma,A40,normal,California,A40,0,0,33.846404,-118.046731,15
La Quinta,A65,normal,California,A65,0,1,33.663357,-116.310009,0
Willits,A38,normal,California,A38,0,0,39.409608,-123.355566,55
Arbuckle,A2,normal,California,A2,0,0,39.017396,-122.057748,39
Antelope,A59,normal,California,A59,0,0,38.716687,-121.364422,30
Aptos,A38,normal,California,A38,0,0,36.977173,-121.899402,68
Palmdale,A28,normal,California,A28,0,0,34.579434,-118.116461,69
Santa Monica,A86,normal,California,A86,0,1,34.019454,-118.491191,0
Napa,A78,normal,California,A78,0,1,38.297538,-122.286865,0
Jacumba,A75,normal,California,A75,0,0,32.61768,-116.187424,46
Santa Monica,A5,normal,California,A5,0,0,34.019454,-118.491191,22
Arbuckle,A39,normal,California,A39,0,0,39.017396,-122.057748,75
Mariposa,A27,normal,California,A27,0,0,37.484938,-119.966284,37
Stockton,A48,normal,California,A48,0,1,37.957702,-121.29078,0
Willits,A8,normal,California,A8,0,1,39.409608,-123.355566,0
Napa,A5,normal,California,A5,0,0,38.297538,-122.286865,37
Santa Rosa,A31,normal,California,A31,0,0,38.440467,-122.714431,40
San Fernando,A94,overspeed,California,A94,1,0,36.471865,-6.196595,77
Napa,A24,normal,California,A24,0,0,38.297538,-122.286865,15
Bakersfield,A73,overspeed,California,A73,1,0,35.373292,-119.018712,81
Palo Cedro,A76,normal,California,A76,0,1,40.563763,-122.238892,0
Antelope,A62,normal,California,A62,0,0,38.716687,-121.364422,71
Knights Landing,A57,normal,California,A57,0,0,38.799703,-121.720574,64
Irvine,A71,lane departure,California,A71,1,1,33.683947,-117.794694,0
San Fernando,A94,normal,California,A94,0,0,36.471865,-6.196595,40
Santa Rosa,A44,normal,California,A44,0,0,38.440467,-122.714431,59
Knightsen,A8,normal,California,A8,0,0,37.968812,-121.668008,17
Napa,A28,lane departure,California,A28,1,0,38.297538,-122.286865,74
Martinez,A3,normal,California,A3,0,1,38.019366,-122.134132,0
Napa,A5,normal,California,A5,0,0,38.297538,-122.286865,58
San Pablo,A100,normal,California,A100,0,0,37.962146,-122.345526,17
Santa Rosa,A100,normal,California,A100,0,1,38.440467,-122.714431,0
Santa Rosa,A91,normal,California,A91,0,0,38.440467,-122.714431,54
Palo Cedro,A3,normal,California,A3,0,0,40.563763,-122.238892,44
Santa Rosa,A12,normal,California,A12,0,0,38.440467,-122.714431,33
Ukiah,A45,normal,California,A45,0,0,39.150171,-123.207783,33
Goleta,A37,normal,California,A37,0,1,34.435829,-119.827639,0
Stockton,A59,normal,California,A59,0,0,37.957702,-121.29078,49
Kneeland,A10,normal,California,A10,0,0,40.761243,-123.994778,18
San Fernando,A75,normal,California,A75,0,1,36.471865,-6.196595,0
Arbuckle,A17,normal,California,A17,0,0,39.017396,-122.057748,40
Irvine,A98,unsafe following distance,California,A98,1,0,33.683947,-117.794694,33
Antelope,A67,normal,California,A67,0,0,38.716687,-121.364422,49
Palmdale,A97,normal,California,A97,0,0,34.579434,-118.116461,34
Stockton,A44,normal,California,A44,0,0,37.957702,-121.29078,31
Glendora,A4,normal,California,A4,0,1,34.136119,-117.865339,0
Roseville,A13,normal,California,A13,0,0,38.752124,-121.288006,46
San Francisco,A80,normal,California,A80,0,0,37.77493,-122.419416,60
La Palma,A32,normal,California,A32,0,0,33.846404,-118.046731,36
Holtville,A63,normal,California,A63,0,0,32.811161,-115.380264,31
Willits,A85,normal,California,A85,0,0,39.409608,-123.355566,57
Kneeland,A60,normal,California,A60,0,0,40.761243,-123.994778,58
Roseville,A94,normal,California,A94,0,0,38.752124,-121.288006,58
Stockton,A63,normal,California,A63,0,0,37.957702,-121.29078,59
Apple Valley,A84,normal,California,A84,0,0,34.500831,-117.185876,34
Aptos,A1,normal,California,A1,0,0,36.977173,-121.899402,75
Antelope,A32,normal,California,A32,0,0,38.716687,-121.364422,26
Palmdale,A5,normal,California,A5,0,0,34.579434,-118.116461,27
San Francisco,A4,normal,California,A4,0,0,37.77493,-122.419416,72
La Palma,A91,normal,California,A91,0,1,33.846404,-118.046731,0
Knightsen,A39,normal,California,A39,0,0,37.968812,-121.668008,29
Palmdale,A13,normal,California,A13,0,0,34.579434,-118.116461,43
Willits,A38,normal,California,A38,0,0,39.409608,-123.355566,23
Arbuckle,A66,normal,California,A66,0,0,39.017396,-122.057748,54
Antelope,A16,normal,California,A16,0,1,38.716687,-121.364422,0
Palmdale,A90,normal,California,A90,0,0,34.579434,-118.116461,19
Arbuckle,A94,normal,California,A94,0,0,39.017396,-122.057748,64
Aptos,A89,normal,California,A89,0,0,36.977173,-121.899402,41
San Diego,A32,normal,California,A32,0,0,32.715329,-117.157255,46
Santa Rosa,A43,normal,California,A43,0,0,38.440467,-122.714431,67
San Fernando,A88,normal,California,A88,0,1,36.471865,-6.196595,0
Roseville,A17,normal,California,A17,0,0,38.752124,-121.288006,20
Palmdale,A82,normal,California,A82,0,0,34.579434,-118.116461,31
Arbuckle,A43,normal,California,A43,0,1,39.017396,-122.057748,0
Knights Landing,A7,normal,California,A7,0,0,38.799703,-121.720574,61
La Palma,A9,lane departure,California,A9,1,0,33.846404,-118.046731,74
San Diego,A55,normal,California,A55,0,0,32.715329,-117.157255,75
Apple Valley,A22,normal,California,A22,0,0,34.500831,-117.185876,58
Jacumba,A56,normal,California,A56,0,0,32.61768,-116.187424,74
Willits,A100,normal,California,A100,0,1,39.409608,-123.355566,0
Antelope,A39,normal,California,A39,0,0,38.716687,-121.364422,49
La Quinta,A26,normal,California,A26,0,0,33.663357,-116.310009,20
Lodi,A40,normal,California,A40,0,0,38.130197,-121.272447,37
Apple Valley,A11,normal,California,A11,0,0,34.500831,-117.185876,53
San Dimas,A6,normal,California,A6,0,0,34.106676,-117.806726,36
Napa,A32,normal,California,A32,0,1,38.297538,-122.286865,0
Kneeland,A60,normal,California,A60,0,0,40.761243,-123.994778,23
San Pablo,A39,normal,California,A39,0,1,37.962146,-122.345526,0
Willits,A8,normal,California,A8,0,0,39.409608,-123.355566,36
Modesto,A89,normal,California,A89,0,0,37.639097,-120.996878,16
Palmdale,A36,normal,California,A36,0,0,34.579434,-118.116461,55
Irvine,A25,normal,California,A25,0,0,33.683947,-117.794694,64
San Dimas,A98,normal,California,A98,0,0,34.106676,-117.806726,74
Napa,A9,normal,California,A9,0,0,38.297538,-122.286865,40
Willits,A53,normal,California,A53,0,0,39.409608,-123.355566,37
Rough and Ready,A73,normal,California,A73,0,0,39.230151,-121.136075,70
Glendora,A4,normal,California,A4,0,1,34.136119,-117.865339,0
Bakersfield,A96,normal,California,A96,0,0,35.373292,-119.018712,16
Apple Valley,A37,unsafe following distance,California,A37,1,1,34.500831,-117.185876,0
Stockton,A60,normal,California,A60,0,0,37.957702,-121.29078,22
Arbuckle,A43,lane departure,California,A43,1,0,39.017396,-122.057748,74
Palmdale,A24,normal,California,A24,0,1,34.579434,-118.116461,0
Rough and Ready,A73,normal,California,A73,0,0,39.230151,-121.136075,58
Santa Rosa,A39,normal,California,A39,0,0,38.440467,-122.714431,23
San Fernando,A11,normal,California,A11,0,1,36.471865,-6.196595,0
Willits,A18,normal,California,A18,0,0,39.409608,-123.355566,41
Hollister,A93,normal,California,A93,0,1,36.852455,-121.401602,0
Palmdale,A5,normal,California,A5,0,1,34.579434,-118.116461,0
Santa Rosa,A55,normal,California,A55,0,0,38.440467,-122.714431,50
Apple Valley,A41,normal,California,A41,0,1,34.500831,-117.185876,0
Knightsen,A89,normal,California,A89,0,0,37.968812,-121.668008,45
Stockton,A71,overspeed,California,A71,1,0,37.957702,-121.29078,91
Santa Rosa,A72,normal,California,A72,0,0,38.440467,-122.714431,61
Goleta,A60,normal,California,A60,0,1,34.435829,-119.827639,0
Palo Cedro,A88,normal,California,A88,0,0,40.563763,-122.238892,25
San Quentin,A33,normal,California,A33,0,1,37.941325,-122.484704,0
Knightsen,A31,normal,California,A31,0,1,37.968812,-121.668008,0
Apple Valley,A57,normal,California,A57,0,1,34.500831,-117.185876,0
Glendora,A8,normal,California,A8,0,0,34.136119,-117.865339,69
Arbuckle,A43,normal,California,A43,0,0,39.017396,-122.057748,75
Ojai,A99,normal,California,A99,0,0,34.44805,-119.242889,27
Palo Alto,A6,normal,California,A6,0,0,37.441883,-122.143019,22
Willits,A100,normal,California,A100,0,1,39.409608,-123.355566,0
Knights Landing,A92,normal,California,A92,0,0,38.799703,-121.720574,23
Stockton,A48,unsafe following distance,California,A48,1,0,37.957702,-121.29078,16
Santa Maria,A4,normal,California,A4,0,0,34.953034,-120.435719,73
Ukiah,A72,normal,California,A72,0,1,39.150171,-123.207783,0
Martinez,A57,normal,California,A57,0,0,38.019366,-122.134132,17
Ukiah,A3,normal,California,A3,0,0,39.150171,-123.207783,18
Santa Rosa,A65,normal,California,A65,0,0,38.440467,-122.714431,63
Arbuckle,A16,normal,California,A16,0,0,39.017396,-122.057748,27
Aptos,A69,normal,California,A69,0,0,36.977173,-121.899402,22
Holtville,A40,normal,California,A40,0,0,32.811161,-115.380264,55
Stockton,A45,normal,California,A45,0,0,37.957702,-121.29078,29
Oceanside,A29,normal,California,A29,0,0,33.19587,-117.379483,20
Stockton,A17,normal,California,A17,0,1,37.957702,-121.29078,0
Palo Alto,A56,normal,California,A56,0,0,37.441883,-122.143019,54
Apple Valley,A14,normal,California,A14,0,0,34.500831,-117.185876,16
Glen Ellen,A6,normal,California,A6,0,1,38.36408,-122.524149,0
Willits,A76,normal,California,A76,0,0,39.409608,-123.355566,17
Willits,A69,normal,California,A69,0,0,39.409608,-123.355566,40
San Pablo,A31,normal,California,A31,0,0,37.962146,-122.345526,40
Occidental,A4,normal,California,A4,0,0,38.40765,-122.947713,70
Glendora,A8,normal,California,A8,0,0,34.136119,-117.865339,46
Santa Paula,A14,lane departure,California,A14,1,0,34.354166,-119.059271,48
San Fernando,A48,normal,California,A48,0,0,36.471865,-6.196595,47
Kneeland,A10,normal,California,A10,0,0,40.761243,-123.994778,26
Palmdale,A32,normal,California,A32,0,0,34.579434,-118.116461,39
Lodi,A36,normal,California,A36,0,0,38.130197,-121.272447,34
Antelope,A78,normal,California,A78,0,0,38.716687,-121.364422,75
Klamath,A32,normal,California,A32,0,1,41.526509,-124.038407,0
Santa Rosa,A57,normal,California,A57,0,1,38.440467,-122.714431,0
Apple Valley,A92,normal,California,A92,0,0,34.500831,-117.185876,64
Modesto,A78,normal,California,A78,0,0,37.639097,-120.996878,44
Palo Alto,A56,normal,California,A56,0,0,37.441883,-122.143019,20
Hollister,A20,normal,California,A20,0,0,36.852455,-121.401602,69
Lodi,A13,normal,California,A13,0,0,38.130197,-121.272447,60
Santa Rosa,A7,normal,California,A7,0,0,38.440467,-122.714431,42
Lodi,A32,normal,California,A32,0,1,38.130197,-121.272447,0
Modesto,A89,normal,California,A89,0,1,37.639097,-120.996878,0
Arbuckle,A70,normal,California,A70,0,0,39.017396,-122.057748,53
Ukiah,A53,normal,California,A53,0,0,39.150171,-123.207783,19
Palo Alto,A29,lane departure,California,A29,1,0,37.441883,-122.143019,24
Lodi,A51,normal,California,A51,0,0,38.130197,-121.272447,69
Lodi,A13,normal,California,A13,0,0,38.130197,-121.272447,64
Homeland,A49,normal,California,A49,0,0,33.743076,-117.109197,40
Bakersfield,A69,normal,California,A69,0,0,35.373292,-119.018712,57
Santa Paula,A10,normal,California,A10,0,0,34.354166,-119.059271,45
Antelope,A51,normal,California,A51,0,0,38.716687,-121.364422,44
Glen Ellen,A56,normal,California,A56,0,0,38.36408,-122.524149,27
Santa Rosa,A71,normal,California,A71,0,0,38.440467,-122.714431,16
Goleta,A56,normal,California,A56,0,0,34.435829,-119.827639,44
Palo Alto,A6,normal,California,A6,0,0,37.441883,-122.143019,56
Palmdale,A36,normal,California,A36,0,1,34.579434,-118.116461,0
San Diego,A46,normal,California,A46,0,1,32.715329,-117.157255,0
San Fernando,A80,normal,California,A80,0,1,36.471865,-6.196595,0
Homeland,A49,normal,California,A49,0,0,33.743076,-117.109197,75
Marysville,A31,normal,California,A31,0,0,39.145725,-121.591355,71
Ojai,A99,normal,California,A99,0,0,34.44805,-119.242889,50
Palo Alto,A33,normal,California,A33,0,1,37.441883,-122.143019,0
Stockton,A79,normal,California,A79,0,1,37.957702,-121.29078,0
Goleta,A56,normal,California,A56,0,0,34.435829,-119.827639,37
Palmdale,A82,normal,California,A82,0,0,34.579434,-118.116461,72
Kneeland,A87,normal,California,A87,0,0,40.761243,-123.994778,31
Occidental,A100,normal,California,A100,0,0,38.40765,-122.947713,60
Knightsen,A39,unsafe following distance,California,A39,1,0,37.968812,-121.668008,40
Fresno,A46,normal,California,A46,0,1,36.746842,-119.772587,0
Santa Rosa,A38,normal,California,A38,0,0,38.440467,-122.714431,15
San Fernando,A30,normal,California,A30,0,0,36.471865,-6.196595,17
San Dimas,A66,normal,California,A66,0,0,34.106676,-117.806726,69
Santa Rosa,A57,normal,California,A57,0,1,38.440467,-122.714431,0
Aptos,A38,normal,California,A38,0,0,36.977173,-121.899402,46
Modesto,A55,normal,California,A55,0,0,37.639097,-120.996878,19
Santa Rosa,A65,normal,California,A65,0,1,38.440467,-122.714431,0
Santa Rosa,A21,normal,California,A21,0,1,38.440467,-122.714431,0
Santa Rosa,A69,normal,California,A69,0,0,38.440467,-122.714431,21
Napa,A51,normal,California,A51,0,1,38.297538,-122.286865,0
San Quentin,A10,unsafe following distance,California,A10,1,1,37.941325,-122.484704,0
Willits,A84,normal,California,A84,0,0,39.409608,-123.355566,17
Glen Ellen,A44,lane departure,California,A44,1,1,38.36408,-122.524149,0
Arbuckle,A24,normal,California,A24,0,0,39.017396,-122.057748,68
Holtville,A48,normal,California,A48,0,0,32.811161,-115.380264,64
Santa Rosa,A7,normal,California,A7,0,0,38.440467,-122.714431,34
Antelope,A85,normal,California,A85,0,1,38.716687,-121.364422,0
San Fernando,A52,normal,California,A52,0,0,36.471865,-6.196595,75
San Pablo,A77,normal,California,A77,0,0,37.962146,-122.345526,53
San Diego,A9,normal,California,A9,0,0,32.715329,-117.157255,35
Isleton,A45,normal,California,A45,0,0,38.161861,-121.611621,58
Santa Rosa,A68,normal,California,A68,0,0,38.440467,-122.714431,51
Lodi,A94,normal,California,A94,0,0,38.130197,-121.272447,54
Santa Rosa,A76,normal,California,A76,0,1,38.440467,-122.714431,0
Antelope,A39,normal,California,A39,0,0,38.716687,-121.364422,54
La Palma,A99,normal,California,A99,0,0,33.846404,-118.046731,69
Knights Landing,A61,normal,California,A61,0,0,38.799703,-121.720574,25
Palo Cedro,A7,normal,California,A7,0,0,40.563763,-122.238892,45
Oceanside,A29,normal,California,A29,0,0,33.19587,-117.379483,18
Santa Rosa,A39,normal,California,A39,0,0,38.440467,-122.714431,26
Hollister,A74,normal,California,A74,0,0,36.852455,-121.401602,73
La Palma,A45,normal,California,A45,0,0,33.846404,-118.046731,16
Hollister,A47,normal,California,A47,0,0,36.852455,-121.401602,37
Modesto,A82,normal,California,A82,0,0,37.639097,-120.996878,71
Cloverdale,A21,normal,California,A21,0,0,38.805462,-123.017223,60
Napa,A59,normal,California,A59,0,1,38.297538,-122.286865,0
Knights Landing,A38,normal,California,A38,0,0,38.799703,-121.720574,70
San Diego,A23,normal,California,A23,0,0,32.715329,-117.157255,33
Knights Landing,A11,normal,California,A11,0,1,38.799703,-121.720574,0
Oceano,A20,normal,California,A20,0,0,35.098865,-120.612393,75
Palmdale,A74,normal,California,A74,0,0,34.579434,-118.116461,56
Apple Valley,A72,normal,California,A72,0,0,34.500831,-117.185876,56
Santa Maria,A58,normal,California,A58,0,0,34.953034,-120.435719,39
Willits,A36,normal,California,A36,0,0,39.409608,-123.355566,35
Antelope,A51,normal,California,A51,0,0,38.716687,-121.364422,70
Glendora,A8,normal,California,A8,0,1,34.136119,-117.865339,0
Oceanside,A2,normal,California,A2,0,0,33.19587,-117.379483,16
Glendora,A4,normal,California,A4,0,1,34.136119,-117.865339,0
Ojai,A3,normal,California,A3,0,0,34.44805,-119.242889,70
Palmdale,A13,normal,California,A13,0,1,34.579434,-118.116461,0
Santa Rosa,A77,normal,California,A77,0,0,38.440467,-122.714431,62
Isleton,A60,normal,California,A60,0,1,38.161861,-121.611621,0
